Instancia,Algoritmo,Run,Tiempo_s
r102,CLASSIC,2,7.2052
r102,CLASSIC,3,7.1546
r102,CLASSIC,4,7.1057
r102,CLASSIC,5,7.0282
r102,CLASSIC,6,7.2693
r102,CLASSIC,7,7.1996
r102,CLASSIC,8,7.057
r102,CLASSIC,9,7.2407
r102,CLASSIC,10,7.3585
r102,QLEARNING,1,6.4534
r102,QLEARNING,2,8.0686
r102,QLEARNING,3,7.604
r102,QLEARNING,4,6.7374
r102,QLEARNING,5,6.7773
r102,QLEARNING,6,7.2539
r102,QLEARNING,7,6.2227
r102,QLEARNING,8,6.8423
r102,QLEARNING,9,6.6284
r102,QLEARNING,10,7.0012
r103,CLASSIC,1,6.8843
r103,CLASSIC,2,7.0596
r103,CLASSIC,3,6.8233
r103,CLASSIC,4,6.7817
r103,CLASSIC,5,6.9864
r103,CLASSIC,6,7.0508
r103,CLASSIC,7,7.0714
r103,CLASSIC,8,6.9602
r103,CLASSIC,9,6.9088
r103,CLASSIC,10,6.945
r103,QLEARNING,1,7.3968
r103,QLEARNING,2,6.9287
r103,QLEARNING,3,7.2693
r103,QLEARNING,4,6.8092
r103,QLEARNING,5,6.8164
r103,QLEARNING,6,7.3123
r103,QLEARNING,7,6.7285
r103,QLEARNING,8,5.7832
r103,QLEARNING,9,5.9136
r103,QLEARNING,10,6.6425
r104,CLASSIC,1,6.3444
r104,CLASSIC,2,6.5615
r104,CLASSIC,3,6.8747
r104,CLASSIC,4,6.8755
r104,CLASSIC,5,6.6596
r104,CLASSIC,6,6.4892
r104,CLASSIC,7,6.7285
r104,CLASSIC,8,6.6315
r104,CLASSIC,9,7.403
r104,CLASSIC,10,6.4924
r104,QLEARNING,1,8.0932
r104,QLEARNING,2,7.4293
r104,QLEARNING,3,7.3756
r104,QLEARNING,4,6.8249
r104,QLEARNING,5,6.3141
r104,QLEARNING,6,7.1646
r104,QLEARNING,7,5.7001
r104,QLEARNING,8,7.0422
r104,QLEARNING,9,6.3871
r104,QLEARNING,10,6.2555
r105,CLASSIC,1,5.6109
r105,CLASSIC,2,5.6612
r105,CLASSIC,3,5.6963
r105,CLASSIC,4,5.6215
r105,CLASSIC,5,5.582
r105,CLASSIC,6,5.6048
r105,CLASSIC,7,5.4992
r105,CLASSIC,8,5.5803
r105,CLASSIC,9,5.7922
r105,CLASSIC,10,5.5806
r105,QLEARNING,1,5.0152
r105,QLEARNING,2,7.2387
r105,QLEARNING,3,5.8085
r105,QLEARNING,4,5.5948
r105,QLEARNING,5,4.9649
r105,QLEARNING,6,5.1754
r105,QLEARNING,7,4.335
r105,QLEARNING,8,5.1192
r105,QLEARNING,9,4.4448
r105,QLEARNING,10,5.189
r106,CLASSIC,1,7.0145
r106,CLASSIC,2,7.0736
r106,CLASSIC,3,7.0042
r106,CLASSIC,4,6.7689
r106,CLASSIC,5,6.9633
r106,CLASSIC,6,7.0563
r106,CLASSIC,7,6.9455
r106,CLASSIC,8,6.9492
r106,CLASSIC,9,6.8653
r106,CLASSIC,10,7.2948
r106,QLEARNING,1,6.7944
r106,QLEARNING,2,6.6648
r106,QLEARNING,3,6.0869
r106,QLEARNING,4,6.1082
r106,QLEARNING,5,8.2909
r106,QLEARNING,6,7.5598
r106,QLEARNING,7,7.4331
r106,QLEARNING,8,6.182
r106,QLEARNING,9,7.2641
r106,QLEARNING,10,5.9348
r107,CLASSIC,1,6.5592
r107,CLASSIC,2,7.7116
r107,CLASSIC,3,6.6529
r107,CLASSIC,4,6.5171
r107,CLASSIC,5,6.5925
r107,CLASSIC,6,6.7198
r107,CLASSIC,7,6.4533
r107,CLASSIC,8,6.5924
r107,CLASSIC,9,6.7951
r107,CLASSIC,10,6.4819
r107,QLEARNING,1,6.3942
r107,QLEARNING,2,5.653
r107,QLEARNING,3,5.1082
r107,QLEARNING,4,6.0855
r107,QLEARNING,5,5.8728
