iter,state,best_veh,best_dist,curr_veh,curr_dist,d_op,r_op,reward,temp,d_weight_0,d_weight_1,d_weight_2,d_weight_3,r_weight_0,r_weight_1,r_weight_2,r_weight_3
60,0,13,1415.91,13,1615.89,1,1,0,273.335,0.502032,0.139155,0.219778,0.139034,0.115004,0.403285,0.341096,0.140615
61,0,13,1415.91,13,1615.89,1,1,0,273.198,0.509758,0.125981,0.223124,0.141138,0.125713,0.347632,0.37294,0.153715
62,0,13,1415.91,13,1537.6,2,1,13,273.062,0.516179,0.115044,0.225897,0.142879,0.13526,0.297998,0.401348,0.165394
63,0,13,1415.91,13,1537.6,0,1,0,272.925,0.503882,0.11227,0.24441,0.139439,0.132853,0.310394,0.394294,0.162459
64,0,13,1415.91,13,1495.13,0,2,13,272.789,0.443439,0.125936,0.274205,0.15642,0.141156,0.267197,0.419028,0.172619
65,0,13,1415.91,13,1455.6,0,2,13,272.652,0.449721,0.124504,0.271128,0.154647,0.139432,0.263966,0.426085,0.170517
66,0,13,1415.91,13,1455.6,1,2,0,272.516,0.455897,0.123096,0.268103,0.152905,0.137734,0.260785,0.433035,0.168447
67,0,13,1401.55,13,1401.55,2,2,33,272.38,0.461773,0.111857,0.271529,0.154841,0.1515,0.286886,0.376324,0.18529
68,0,13,1401.55,13,1401.55,2,2,0,272.244,0.395209,0.0957058,0.376593,0.132492,0.125529,0.237737,0.483202,0.153532
69,0,13,1398.81,13,1398.81,0,2,33,272.108,0.429007,0.103861,0.32334,0.143792,0.139936,0.265057,0.423845,0.171161
70,0,13,1372.04,13,1372.04,2,1,33,271.971,0.535977,0.0843915,0.262787,0.116844,0.113718,0.215424,0.531759,0.139098
71,0,13,1372.04,13,1372.04,0,0,0,271.836,0.459201,0.0722761,0.368446,0.100076,0.0992617,0.315015,0.464303,0.12142
72,0,13,1369.21,13,1369.21,3,2,33,271.7,0.398551,0.080363,0.409805,0.111281,0.0915039,0.317724,0.468331,0.122441
73,0,13,1369.21,13,1567.99,1,2,9,271.564,0.368089,0.0741969,0.378485,0.179229,0.0732732,0.254486,0.574188,0.0980525
74,0,13,1369.21,13,1570.76,0,2,9,271.428,0.365201,0.0814845,0.375517,0.177797,0.0762072,0.264742,0.557066,0.101985
75,0,13,1369.21,13,1609.23,1,2,9,271.292,0.351808,0.083185,0.383471,0.181536,0.0791052,0.274878,0.540148,0.105869
76,0,13,1369.21,13,1609.23,3,3,0,271.157,0.349034,0.0904319,0.380454,0.18008,0.0819605,0.284871,0.523472,0.109697
77,0,13,1369.21,13,1609.23,0,3,0,271.021,0.359109,0.0930171,0.391442,0.156432,0.0827388,0.287648,0.528639,0.100975
78,0,13,1369.21,13,1609.23,1,2,0,270.886,0.30693,0.10057,0.423349,0.169151,0.0833879,0.289976,0.532984,0.093652
79,0,13,1369.21,13,1506.43,2,2,13,270.75,0.309907,0.0918382,0.427483,0.170772,0.0944535,0.328538,0.470926,0.106082
80,0,13,1369.21,13,1499.59,2,2,13,270.615,0.307242,0.0910261,0.43245,0.169283,0.0935255,0.325391,0.476041,0.105042
81,0,13,1369.21,13,1497.72,0,1,13,270.479,0.304621,0.0902277,0.437333,0.167818,0.0926146,0.322303,0.481061,0.104022
82,0,13,1369.21,13,1497.72,0,2,0,270.344,0.316508,0.088665,0.429895,0.164932,0.0907947,0.335462,0.471763,0.10198
83,0,13,1369.21,13,1497.72,2,1,0,270.209,0.272054,0.0944102,0.457895,0.175641,0.101133,0.373757,0.411516,0.113594
84,0,13,1369.21,13,1497.72,0,0,0,270.074,0.30212,0.104822,0.398023,0.195035,0.109533,0.321611,0.445823,0.123033
85,0,13,1369.21,13,1497.72,2,2,9,269.939,0.259258,0.111239,0.422502,0.207001,0.10017,0.32499,0.450538,0.124302
86,0,13,1369.21,13,1497.72,0,0,0,269.804,0.265484,0.113891,0.408663,0.211963,0.102709,0.333305,0.436528,0.127457
87,0,13,1369.21,13,1497.72,3,1,0,269.669,0.22905,0.119519,0.428967,0.222464,0.0943245,0.33642,0.440632,0.128624
88,0,13,1369.21,13,1545.36,2,2,9,269.534,0.237456,0.12389,0.444767,0.193887,0.10078,0.29085,0.470934,0.137436
89,0,13,1369.21,13,1545.36,3,1,0,269.399,0.243346,0.126946,0.43102,0.198688,0.103402,0.29848,0.457098,0.14102
90,0,13,1369.21,13,1508.6,2,2,13,269.265,0.250736,0.130784,0.444161,0.174319,0.109162,0.259247,0.482706,0.148885
91,0,13,1369.21,13,1501.05,3,1,13,269.13,0.24777,0.12922,0.450765,0.172244,0.107731,0.255891,0.489437,0.146942
92,0,13,1369.21,13,1524.26,0,1,9,268.995,0.242337,0.12637,0.440934,0.190359,0.105143,0.273609,0.477826,0.143421
93,0,13,1369.21,13,1524.26,2,2,0,268.861,0.243138,0.126216,0.440505,0.190142,0.105108,0.273702,0.477808,0.143382
94,0,13,1369.21,13,1524.26,1,3,0,268.727,0.268245,0.139231,0.382759,0.209766,0.116954,0.304608,0.418888,0.159551
95,0,13,1369.21,13,1444.99,2,2,13,268.592,0.272978,0.124023,0.389541,0.213457,0.119379,0.310983,0.427682,0.141956
96,0,13,1369.21,13,1449.21,3,2,9,268.458,0.269691,0.12251,0.396924,0.210876,0.117771,0.306854,0.435326,0.140049
97,0,13,1369.21,13,1449.21,2,1,0,268.324,0.269011,0.122182,0.395954,0.212852,0.120364,0.313669,0.42283,0.143137
