Instancia,BKS_Vehiculos,BKS_Distancia,CLASSIC_Vehiculos,QLEARNING_Vehiculos,CLASSIC_Distancia,QLEARNING_Distancia,CLASSIC_Vehiculos_Promedio,QLEARNING_Vehiculos_Promedio,CLASSIC_Distancia_Promedio,QLEARNING_Distancia_Promedio,CLASSIC_Delta_Vehiculos,QLEARNING_Delta_Vehiculos,CLASSIC_GAP_Dist_Mejor (%),QLEARNING_GAP_Dist_Mejor (%),CLASSIC_GAP_Dist_Prom (%),QLEARNING_GAP_Dist_Prom (%),CLASSIC_Iter_Convergencia,QLEARNING_Iter_Convergencia,CLASSIC_Iter_Conv_Promedio,QLEARNING_Iter_Conv_Promedio,CLASSIC_Tiempo_Mejor,QLEARNING_Tiempo_Mejor,CLASSIC_Tiempo_Promedio,QLEARNING_Tiempo_Promedio
r104,9,1007.31,10.0,10.0,982.547,981.232,10.0,10.0,987.0768,987.4871999999999,1.0,1.0,-2.4583296105468944,-2.5888753214005593,-2.008636864520346,-1.9678946898174374,10525,7055,9638.3,8485.7,6.3721,5.1916,6.5122100000000005,6.49095
r105,14,1377.11,14.0,14.0,1377.11,1377.11,14.0,14.0,1382.741,1383.559,0.0,0.0,0.0,0.0,0.4088997974018115,0.4682995548649033,8949,23776,9160.3,11082.6,5.3306,4.4258,5.5785,4.9985100000000005
r106,12,1252.03,12.0,12.0,1252.03,1257.96,12.0,12.1,1262.354,1260.962,0.0,0.0,0.0,0.47363082354257197,0.8245808806498303,0.7134014360678272,8959,10826,9592.9,6582.2,6.8139,5.7094,6.96272,7.12406
r107,10,1104.66,11.0,11.0,1073.01,1073.6,11.0,11.0,1076.7050000000002,1075.211,1.0,1.0,-2.865134973657061,-2.811724874622071,-2.530642912751428,-2.665888146579044,8517,13573,14778.4,11985.6,6.19,5.1708,6.5555,5.70344
r108,9,960.88,10.0,9.0,944.441,965.126,10.0,9.7,948.9684,955.9465,1.0,0.0,-1.7108275747231667,0.4418866039463805,-1.2396553159603718,-0.5134356006993569,11821,20968,8512.5,12338.2,6.0795,5.3284,6.33462,6.2747
r109,11,1194.73,12.0,12.0,1153.02,1153.02,12.0,12.0,1155.923,1155.111,1.0,1.0,-3.4911653679073966,-3.4911653679073966,-3.2481815975157575,-3.3161467444527144,13176,10716,9298.4,13279.9,5.2403,4.296,5.39435,4.57008
r110,10,118.84,11.0,11.0,1083.64,1080.64,11.0,11.0,1094.969,1096.881,1.0,1.0,811.8478626725009,809.3234601144395,821.3808481992595,822.9897340962639,8203,9157,10117.0,12668.7,6.1694,5.076,6.37252,5.61344
r111,10,1096.73,11.0,11.0,1054.22,1054.22,11.0,11.0,1055.307,1056.424,1.0,1.0,-3.8760679474437634,-3.8760679474437634,-3.7769551302508364,-3.675106908719561,9623,10169,8598.2,9839.8,6.3234,5.9292,6.43467,6.16622
r112,9,982.14,10.0,10.0,953.684,955.746,10.0,10.0,964.3754999999999,963.9466,1.0,1.0,-2.897346610462869,-2.687396908791008,-1.8087543527399466,-1.8524242979615937,10090,6050,14427.0,13162.9,6.2201,5.2892,6.35583,5.930210000000001
r201,4,1252.37,4.0,4.0,1253.23,1252.37,4.0,4.0,1265.188,1259.915,0.0,0.0,0.06866980205531333,0.0,1.023499445052198,0.6024577401247294,4773,4638,6091.7,5203.5,4.7663,3.7151,4.99368,3.84687
r202,3,1191.7,4.0,4.0,1079.39,1083.88,4.0,4.0,1084.718,1091.663,1.0,1.0,-9.424351766384152,-9.047579088696814,-8.97725937736007,-8.394478476126546,6116,9403,6920.9,5743.7,5.4342,4.5761,5.59681,4.83664
r203,3,939.5,3.0,3.0,942.397,943.504,3.0,3.0,959.3852999999999,954.9011,0.0,0.0,0.30835550824907376,0.42618414050026815,2.116583288983493,1.6392868547099564,4308,4954,6985.4,3823.7,5.7411,4.8552,5.92676,5.12936
r204,2,825.52,3.0,2.0,754.446,842.359,3.0,2.9,762.0283000000001,768.3785,1.0,0.0,-8.609603643763926,2.039805213683503,-7.691115902703741,-6.921879542591331,2514,3751,4933.3,6358.1,5.8996,5.0452,6.06605,5.4394599999999995
r205,3,994.43,3.0,3.0,994.85,1001.93,3.0,3.0,1029.916,1021.3629999999999,0.0,0.0,0.042235250344425726,0.7542008990074717,3.568476413623884,2.708385708395764,3796,4531,6178.9,9207.3,4.635,3.855,4.73283,4.08614
r206,3,906.14,3.0,3.0,913.242,909.819,3.0,3.0,927.8365,929.7941000000001,0.0,0.0,0.7837640982629589,0.40600790164874895,2.394387180788842,2.6104244377248644,5341,2726,4366.5,4001.3,5.2237,4.4504,5.32024,4.95233
r207,2,890.61,3.0,3.0,816.971,814.987,3.0,3.0,824.5847,826.1881999999999,1.0,1.0,-8.268377853381391,-8.491146517555388,-7.413491876354411,-7.2334467387521,253,3724,6920.6,3574.1,5.6481,4.8653,5.792800000000001,5.01913
r208,2,726.82,2.0,2.0,726.823,726.823,2.0,2.0,741.7099000000001,738.6065,0.0,0.0,0.00041275694118613404,0.00041275694118613404,2.0486365262375843,1.621653229135127,4926,4461,9319.9,8308.1,5.4532,4.7826,5.57297,4.96612
r209,3,909.16,3.0,3.0,924.183,917.602,3.0,3.0,936.3164,938.4141999999999,0.0,0.0,1.6524044172642904,0.9285494302433023,2.9869769897487877,3.217717453473533,16872,4317,8118.8,3516.7,5.2244,4.4117,5.34408,4.57196
r210,3,939.37,3.0,3.0,958.989,955.737,3.0,3.0,965.1985000000001,962.7434999999999,0.0,0.0,2.0885274173116053,1.7423379499025904,2.749555553189912,2.488210183420795,8014,11457,7737.1,5931.4,5.446,4.6647,5.59593,4.86245
