Algoritmo,Instancia,Run,Vehiculos,Distancia,Iter_Convergencia,Tiempo_s
CLASSIC,c208,6,3.0,588.324,106,4.347
CLASSIC,c208,7,3.0,588.324,106,4.378
CLASSIC,c208,8,3.0,588.324,71,4.564
CLASSIC,c208,9,3.0,588.324,58,4.769
CLASSIC,r101,1,19.0,1650.8,15674,6.295
CLASSIC,r101,10,19.0,1650.8,11050,6.604
CLASSIC,r101,2,19.0,1651.01,14419,6.139
CLASSIC,r101,3,19.0,1651.01,15608,6.462
CLASSIC,r101,4,19.0,1650.8,15086,6.564
CLASSIC,r101,5,19.0,1651.01,16010,6.356
CLASSIC,r101,6,19.0,1651.01,15747,6.102
CLASSIC,r101,7,19.0,1651.01,16500,6.041
CLASSIC,r101,8,19.0,1651.01,13943,6.133
CLASSIC,r101,9,19.0,1651.01,15333,6.404
CLASSIC,r102,1,17.0,1487.6,7272,7.088
CLASSIC,r102,10,17.0,1486.12,9026,7.255
CLASSIC,r102,2,17.0,1486.12,15315,7.227
CLASSIC,r102,3,17.0,1487.31,9138,7.51
CLASSIC,r102,4,17.0,1489.4,9599,7.109
CLASSIC,r102,5,17.0,1486.12,11974,7.29
CLASSIC,r102,6,17.0,1487.31,8201,7.148
CLASSIC,r102,7,17.0,1487.31,9808,7.759
CLASSIC,r102,8,17.0,1487.31,8658,7.889
CLASSIC,r102,9,17.0,1487.31,19849,7.246
CLASSIC,r103,1,14.0,1213.73,8840,7.404
CLASSIC,r103,10,14.0,1217.49,8576,7.553
CLASSIC,r103,2,14.0,1213.62,9760,7.112
CLASSIC,r103,3,14.0,1217.49,9571,7.23
CLASSIC,r103,4,14.0,1213.62,6967,7.375
CLASSIC,r103,5,14.0,1213.62,12440,7.044
CLASSIC,r103,6,14.0,1213.73,5545,7.11
CLASSIC,r103,7,14.0,1213.62,9838,7.11
CLASSIC,r103,8,14.0,1213.62,6622,7.603
CLASSIC,r103,9,14.0,1213.62,9721,7.523
CLASSIC,r104,1,10.0,982.547,12836,6.562
CLASSIC,r104,10,10.0,986.718,4629,6.895
CLASSIC,r104,2,10.0,981.232,8486,6.686
CLASSIC,r104,3,10.0,981.232,10163,6.638
CLASSIC,r104,4,10.0,986.819,7443,8.027
CLASSIC,r104,5,10.0,988.71,9624,7.79
CLASSIC,r104,6,10.0,982.547,8677,6.58
CLASSIC,r104,7,10.0,982.547,8899,6.584
CLASSIC,r104,8,10.0,981.232,6666,6.689
CLASSIC,r104,9,10.0,986.819,9162,7.151
CLASSIC,r105,1,14.0,1400.57,8004,5.728
CLASSIC,r105,10,14.0,1389.57,13160,5.747
CLASSIC,r105,2,14.0,1381.89,6989,6.032
CLASSIC,r105,3,14.0,1381.37,12701,5.522
CLASSIC,r105,4,14.0,1381.89,5687,5.577
CLASSIC,r105,5,14.0,1378.78,8983,5.889
CLASSIC,r105,6,14.0,1387.37,16687,5.821
CLASSIC,r105,7,14.0,1377.11,7341,5.747
CLASSIC,r105,8,14.0,1377.11,15524,5.645
CLASSIC,r105,9,14.0,1387.14,8368,5.719
CLASSIC,r106,1,12.0,1252.03,6244,7.202
CLASSIC,r106,10,12.0,1259.71,7217,7.11
CLASSIC,r106,2,12.0,1259.71,1733,6.979
CLASSIC,r106,3,12.0,1260.04,11627,7.325
CLASSIC,r106,4,12.0,1258.31,9178,7.308
CLASSIC,r106,5,12.0,1261.67,20052,7.017
CLASSIC,r106,6,12.0,1263.61,11228,7.12
CLASSIC,r106,7,12.0,1265.07,6652,7.584
CLASSIC,r106,8,12.0,1265.44,15891,7.023
CLASSIC,r106,9,12.0,1263.61,11607,6.989
CLASSIC,r107,1,11.0,1076.6,8810,7.147
CLASSIC,r107,10,11.0,1077.83,11509,7.282
CLASSIC,r107,2,11.0,1078.54,13230,7.332
CLASSIC,r107,3,11.0,1073.91,9715,7.721
CLASSIC,r107,4,11.0,1075.21,10089,6.756
CLASSIC,r107,5,11.0,1075.45,9831,6.796
CLASSIC,r107,6,11.0,1073.91,14333,7.081
CLASSIC,r107,7,11.0,1073.01,11353,6.759
CLASSIC,r107,8,11.0,1077.47,6181,6.849
CLASSIC,r107,9,11.0,1086.98,12500,6.842
CLASSIC,r108,1,10.0,946.422,7142,6.744
CLASSIC,r108,10,10.0,952.893,4988,6.74
CLASSIC,r108,2,10.0,944.498,24003,6.468
CLASSIC,r108,3,10.0,954.202,9313,6.945
CLASSIC,r108,4,10.0,944.441,7949,6.954
CLASSIC,r108,5,10.0,941.077,10023,6.33
CLASSIC,r108,6,10.0,950.025,10178,6.578
