Instancia,Opt_Veh,Opt_Dist,CLASSIC_BestVeh,CLASSIC_StdVeh,CLASSIC_BestDist,CLASSIC_StdDist,CLASSIC_AvgTime,CLASSIC_UnifiedGAP,QLEARNING_BestVeh,QLEARNING_StdVeh,QLEARNING_BestDist,QLEARNING_StdDist,QLEARNING_AvgTime,QLEARNING_UnifiedGAP,DQN_BestVeh,DQN_StdVeh,DQN_BestDist,DQN_StdDist,DQN_AvgTime,DQN_UnifiedGAP
R107,10.0,1104.66,11.0,0.000,1073.60,3.40,0.00,97.47,11.0,0.000,1073.91,1.79,0.00,97.44,11.0,0.000,1076.44,4.71,0.00,97.89
R108,9.0,960.88,10.0,0.000,944.44,4.38,0.00,98.79,9.0,0.458,965.13,12.00,0.00,69.80,9.0,0.400,985.16,13.16,0.00,80.14
R109,11.0,1194.73,12.0,0.000,1153.52,1.67,0.00,96.71,12.0,0.000,1153.52,4.46,0.00,97.05,12.0,0.000,1153.89,5.87,0.00,97.09
R110,10.0,1118.84,11.0,0.000,1083.64,5.93,0.00,97.57,11.0,0.300,1080.64,9.71,0.00,107.74,11.0,0.000,1082.79,13.60,0.00,97.93
R111,10.0,1096.73,11.0,0.000,1054.22,3.76,0.00,96.35,11.0,0.000,1054.22,10.82,0.00,96.74,11.0,0.000,1054.22,6.15,0.00,97.08
R112,9.0,982.14,10.0,0.000,955.68,5.94,0.00,98.15,10.0,0.000,960.64,5.76,0.00,98.31,10.0,0.000,957.72,3.25,0.00,97.84
R201,4.0,1252.37,4.0,0.000,1253.23,7.45,0.00,0.86,4.0,0.000,1252.37,9.88,0.00,0.82,4.0,0.000,1268.85,3.58,0.00,1.83
R202,3.0,1191.7,4.0,0.000,1079.39,2.44,0.00,91.00,4.0,0.000,1084.38,12.01,0.00,92.24,4.0,0.000,1084.76,12.95,0.00,92.36
R203,3.0,939.5,3.0,0.000,941.64,10.11,0.00,1.84,3.0,0.000,943.50,21.70,0.00,2.45,3.0,0.000,950.57,2.95,0.00,1.40
R204,2.0,825.52,3.0,0.000,751.97,7.99,0.00,92.37,2.0,0.400,842.36,33.09,0.00,74.59,3.0,0.000,755.72,6.74,0.00,92.82
R205,3.0,994.43,3.0,0.000,994.85,17.47,0.00,3.06,3.0,0.000,1021.37,14.03,0.00,4.35,3.0,0.000,1055.11,3.90,0.00,6.57
R206,3.0,906.14,3.0,0.000,912.26,10.89,0.00,2.03,3.0,0.000,912.25,11.27,0.00,2.68,3.0,0.000,912.75,17.69,0.00,2.98
R207,2.0,890.61,3.0,0.000,812.75,10.81,0.00,93.05,3.0,0.000,814.99,15.91,0.00,94.02,3.0,0.000,817.10,7.06,0.00,93.04
R208,2.0,726.82,2.0,0.000,726.82,6.83,0.00,1.54,2.0,0.000,726.82,6.03,0.00,1.67,2.0,0.000,726.82,13.20,0.00,2.14
R209,3.0,909.16,3.0,0.000,928.33,6.32,0.00,2.98,3.0,0.000,917.60,13.63,0.00,2.99,3.0,0.000,937.66,4.97,0.00,4.14
R210,3.0,939.37,3.0,0.000,942.27,7.46,0.00,2.32,3.0,0.000,955.74,7.14,0.00,2.86,3.0,0.000,960.04,4.51,0.00,2.75
R211,2.0,885.71,3.0,0.000,767.82,12.10,0.00,89.50,3.0,0.000,775.36,13.89,0.00,90.04,3.0,0.000,794.69,7.79,0.00,90.87
