Instancia,Opt_Veh,Opt_Dist,Run1_Veh,Run1_Dist,Run2_Veh,Run2_Dist,Run3_Veh,Run3_Dist,Run4_Veh,Run4_Dist,Run5_Veh,Run5_Dist,Run6_Veh,Run6_Dist,Run7_Veh,Run7_Dist,Run8_Veh,Run8_Dist,Run9_Veh,Run9_Dist,Run10_Veh,Run10_Dist,Best_Veh,Avg_Veh,Std_Veh,Best_Dist,Avg_Dist,Std_Dist,Veh_GAP,Dist_GAP,Unified_GAP,Avg_Time(s)
C208,3.0,588.32,3,588.32,3,588.32,3,588.32,3,588.32,3,588.32,3,588.32,3,588.32,3,588.32,3,588.32,3,588.32,3,3.00,0.000,588.32,588.32,0.00,0.00,0.00,0.00,4.72
R101,19.0,1650.8,19,1654.08,19,1658.89,19,1658.38,19,1658.21,19,1661.26,19,1657.72,19,1653.32,19,1654.39,19,1652.21,19,1653.79,19,19.00,0.000,1652.21,1656.22,2.86,0.00,0.33,0.33,4.28
R102,17.0,1486.12,17,1486.12,17,1491.97,17,1490.85,17,1488.32,17,1487.31,17,1494.00,17,1490.85,17,1500.78,17,1490.67,17,1487.68,17,17.00,0.000,1486.12,1490.86,4.01,0.00,0.32,0.32,4.94
R103,13.0,1292.68,14,1221.80,13,1308.78,14,1220.69,14,1214.70,14,1218.86,14,1218.43,14,1224.26,13,1298.90,14,1229.01,14,1220.86,13,13.80,0.400,1298.90,1237.63,33.37,0.80,-4.26,75.74,4.88
R104,9.0,1007.31,10,990.90,10,981.23,10,991.36,10,994.13,10,1015.60,10,991.81,10,988.28,10,1012.46,10,994.76,10,981.47,10,10.00,0.000,981.23,994.20,10.87,1.00,-1.30,98.70,4.99
R105,14.0,1377.11,14,1390.07,15,1363.74,14,1419.31,14,1392.65,14,1388.52,14,1381.23,14,1379.39,14,1420.33,14,1414.12,14,1386.41,14,14.10,0.300,1379.39,1393.58,17.70,0.10,1.20,11.20,4.00
R106,12.0,1252.03,13,1253.73,12,1259.90,12,1272.20,12,1268.29,13,1256.76,12,1263.93,13,1243.01,12,1266.63,12,1263.89,12,1304.52,12,12.30,0.458,1259.90,1265.29,15.27,0.30,1.06,31.06,4.83
R107,10.0,1104.66,11,1087.59,11,1075.21,11,1079.67,11,1076.70,11,1083.86,11,1077.83,11,1076.93,11,1075.21,11,1081.90,11,1077.11,11,11.00,0.000,1075.21,1079.20,3.86,1.00,-2.30,97.70,4.87
R108,9.0,960.88,9,993.71,10,960.80,10,953.76,10,946.76,10,955.26,10,955.45,10,950.77,10,955.45,10,953.34,10,964.33,9,9.90,0.300,993.71,958.96,12.46,0.90,-0.20,89.80,4.84
R109,11.0,1194.73,12,1169.17,12,1156.62,12,1153.89,12,1156.21,12,1158.72,12,1176.22,12,1156.21,12,1157.04,12,1157.00,12,1164.62,12,12.00,0.000,1153.89,1160.57,6.80,1.00,-2.86,97.14,4.05
R110,10.0,1118.84,11,1082.17,11,1080.14,11,1094.73,11,1082.79,11,1088.52,11,1089.49,11,1090.69,11,1107.95,11,1132.59,11,1088.52,11,11.00,0.000,1080.14,1093.76,14.94,1.00,-2.24,97.76,4.67
R111,10.0,1096.73,11,1105.10,11,1068.49,11,1070.36,11,1054.22,11,1067.61,11,1061.36,11,1065.01,11,1062.32,11,1071.73,11,1058.18,11,11.00,0.000,1054.22,1068.44,13.29,1.00,-2.58,97.42,4.69
R112,9.0,982.14,10,979.91,10,977.80,10,968.03,10,958.53,10,976.67,10,966.12,10,964.15,10,966.85,10,968.06,10,975.55,10,10.00,0.000,958.53,970.17,6.58,1.00,-1.22,98.78,4.92
R201,4.0,1252.37,4,1287.90,4,1276.63,4,1268.04,4,1273.93,4,1276.33,4,1285.57,4,1276.09,4,1253.23,4,1259.82,4,1252.37,4,4.00,0.000,1252.37,1270.99,11.79,0.00,1.49,1.49,4.49
R202,3.0,1191.7,4,1111.70,4,1092.27,4,1106.39,4,1100.84,4,1124.06,4,1097.09,4,1108.70,4,1105.58,4,1091.59,4,1121.51,4,4.00,0.000,1091.59,1105.97,10.53,1.00,-7.19,92.81,5.41
R203,3.0,939.5,3,965.86,3,950.71,3,984.47,3,967.61,3,975.20,3,958.57,3,1012.24,3,965.25,3,994.04,3,956.46,3,3.00,0.000,950.71,973.04,17.99,0.00,3.57,3.57,7.27
R204,2.0,825.52,3,764.59,3,765.64,3,755.83,3,769.23,3,757.55,3,763.95,3,776.22,3,750.31,3,755.01,3,764.54,3,3.00,0.000,750.31,762.29,7.26,1.00,-7.66,92.34,7.95
R205,3.0,994.43,3,1047.96,3,1022.13,3,1066.13,3,1034.13,3,1046.47,3,1053.39,3,1045.18,3,1028.60,3,1034.94,3,1008.53,3,3.00,0.000,1008.53,1038.75,15.74,0.00,4.46,4.46,5.41
R206,3.0,906.14,3,928.75,3,939.42,3,926.35,3,928.21,3,933.06,3,938.55,3,950.18,3,932.68,3,918.23,3,946.33,3,3.00,0.000,918.23,934.18,9.14,0.00,3.09,3.09,6.16
R207,2.0,890.61,3,837.76,3,812.75,3,860.02,3,831.87,3,832.36,3,834.76,3,826.43,3,821.28,3,845.46,3,844.27,3,3.00,0.000,812.75,834.70,12.65,1.00,-6.28,93.72,7.12
R208,2.0,726.82,2,732.52,2,727.65,2,726.82,2,738.83,2,735.11,2,742.46,2,756.72,2,727.69,2,740.85,2,726.82,2,2.00,0.000,726.82,735.55,9.06,0.00,1.20,1.20,9.39
