iter,best_veh,best_dist,curr_veh,curr_dist,d_op,r_op,reward,temp,d_weight_0,d_weight_1,d_weight_2,d_weight_3,r_weight_0,r_weight_1,r_weight_2,r_weight_3
66,12,1514.54,13,1867.07,1,1,9,14787,0.000583056,0.994704,0.00154273,0.00317015,0.000488839,0.994685,0.00388219,0.000944312
67,12,1514.54,13,1935.65,1,1,9,14779.6,0.000563076,0.994884,0.00149016,0.00306256,0.00047373,0.994847,0.00376376,0.000915246
68,12,1514.54,13,2012.56,1,1,9,14772.2,0.000544134,0.995055,0.00144031,0.00296053,0.000459354,0.995002,0.00365107,0.000887589
69,12,1514.54,13,1961.7,1,1,13,14764.8,0.000526163,0.995217,0.00139301,0.00286373,0.000445669,0.995149,0.00354376,0.000861259
70,12,1514.54,13,1966.91,1,1,9,14757.5,0.000469601,0.99573,0.00124351,0.00255675,0.000399067,0.995655,0.00317451,0.000771301
71,12,1514.54,13,1929.04,1,1,13,14750.1,0.000455376,0.995858,0.00120607,0.00248014,0.000388222,0.995772,0.00308953,0.000750441
72,12,1514.54,13,1929.19,1,1,9,14742.7,0.000407518,0.996293,0.00107953,0.00222024,0.00034852,0.996203,0.00277472,0.000673784
73,12,1514.54,13,1833.57,1,1,13,14735.3,0.000396249,0.996394,0.00104988,0.00215958,0.00033993,0.996295,0.00270746,0.000657264
74,12,1514.54,13,1935.98,1,1,9,14728,0.000355527,0.996764,0.00094217,0.00193829,0.000305922,0.996665,0.00243761,0.000591587
75,12,1514.54,13,1874.15,1,1,13,14720.6,0.000346602,0.996844,0.000918699,0.00189028,0.000299129,0.996738,0.00238447,0.000578526
76,12,1514.54,12,1726.45,1,1,13,14713.2,0.00031176,0.997161,0.000826508,0.00170084,0.000269845,0.997056,0.00215193,0.000521959
77,12,1514.54,12,1745.56,1,1,9,14705.9,0.000280986,0.99744,0.000745069,0.00153347,0.000243905,0.997338,0.00194587,0.000471846
78,12,1514.54,12,1799.23,1,1,9,14698.5,0.000275178,0.997493,0.00072981,0.00150228,0.000239532,0.997385,0.00191178,0.000463447
79,12,1514.54,12,1799.23,1,1,0,14691.2,0.000269591,0.997543,0.000715132,0.00147228,0.000235313,0.99743,0.00187889,0.000455344
80,12,1514.54,12,1829.03,1,1,9,14683.8,0.000317089,0.997109,0.000841293,0.00173226,0.00027751,0.996969,0.00221673,0.000537069
81,12,1514.54,12,1787.88,1,1,13,14676.5,0.000309761,0.997175,0.000822009,0.0016928,0.00027181,0.99703,0.00217211,0.000526108
82,12,1514.54,12,1783.56,1,1,13,14669.1,0.000279146,0.997454,0.000740911,0.00152601,0.000245582,0.997316,0.00196333,0.000475404
83,12,1514.54,12,1793.42,1,1,9,14661.8,0.000252055,0.9977,0.000669139,0.00137839,0.000222313,0.997569,0.00177804,0.000430417
84,12,1514.54,12,1793.42,1,1,0,14654.5,0.000247322,0.997743,0.0006567,0.00135296,0.00021868,0.997608,0.00174971,0.000423438
85,12,1514.54,12,1793.42,1,1,0,14647.2,0.000291404,0.99734,0.000773899,0.00159465,0.000258277,0.997174,0.00206739,0.000500177
86,12,1514.54,12,1836.7,1,1,9,14639.8,0.000342205,0.996876,0.000908994,0.00187329,0.000304017,0.996673,0.00243454,0.000588835
87,12,1514.54,12,1744.01,1,1,13,14632.5,0.00033372,0.996952,0.000886629,0.00182746,0.000297172,0.996746,0.00238072,0.000575654
88,12,1514.54,12,1808.05,1,1,9,14625.2,0.000300205,0.997258,0.000797743,0.00164449,0.000267945,0.997065,0.00214747,0.000519107
89,12,1514.54,12,1808.05,1,1,0,14617.9,0.000293498,0.997318,0.000780071,0.0016083,0.000262547,0.997124,0.00210508,0.000508717
90,12,1514.54,12,1733.77,1,1,13,14610.6,0.000344615,0.99685,0.00091611,0.00188905,0.000308941,0.996614,0.00247809,0.000598688
91,12,1514.54,13,1877.34,1,1,9,14603.3,0.000309763,0.997168,0.000823622,0.00169858,0.000278301,0.996949,0.00223325,0.000539385
92,12,1514.54,13,1900.48,1,1,9,14596,0.000302621,0.997233,0.000804791,0.00165998,0.000272461,0.997012,0.0021873,0.000528135
93,12,1514.54,13,1843.37,1,1,13,14588.7,0.00029577,0.997295,0.000786725,0.00162295,0.000266845,0.997073,0.00214311,0.000517318
94,12,1514.54,13,1835.57,1,1,13,14581.4,0.00026661,0.997561,0.0007093,0.00146344,0.00024103,0.997355,0.00193659,0.000467334
95,12,1514.54,13,1802.36,1,1,13,14574.1,0.0002408,0.997796,0.00064076,0.00132222,0.000218135,0.997606,0.00175336,0.000422997
96,12,1514.54,13,1862.1,1,1,9,14566.8,0.000217911,0.998005,0.000579968,0.00119695,0.000197789,0.997828,0.00159049,0.000383596
97,12,1514.54,13,1863.96,1,1,9,14559.5,0.000214333,0.998037,0.000570556,0.0011777,0.000194914,0.997859,0.00156802,0.000378069
98,12,1514.54,13,1895.1,1,1,9,14552.2,0.000210875,0.998069,0.000561459,0.00115909,0.000192129,0.997889,0.00154626,0.000372716
99,12,1514.54,13,1873.44,1,1,13,14545,0.000207531,0.998099,0.000552665,0.0011411,0.000189431,0.997918,0.00152518,0.000367531
100,12,1514.54,12,1762.94,1,1,13,14537.7,0.000188314,0.998274,0.000501587,0.00103579,0.000172202,0.998107,0.00138704,0.000334148
101,12,1514.54,12,1755.83,1,1,13,14530.4,0.000171193,0.998431,0.000456074,0.000941938,0.000156825,0.998275,0.00126371,0.00030435
102,12,1514.54,12,1734.95,1,1,13,14523.2,0.000155913,0.99857,0.000415447,0.000858155,0.000143076,0.998426,0.00115341,0.000277705
103,12,1514.54,12,1734.95,1,1,0,14515.9,0.00014225,0.998695,0.000379116,0.000783222,0.000130762,0.998561,0.00105457,0.000253837
104,12,1514.54,12,1734.95,1,1,0,14508.6,0.000169479,0.998445,0.000451775,0.000933465,0.000156047,0.998282,0.00125902,0.000302962
105,12,1514.54,12,1714.6,1,1,13,14501.4,0.000201213,0.998154,0.00053647,0.00110862,0.000185562,0.997956,0.00149778,0.000360311
106,12,1514.54,12,1715.81,1,1,9,14494.1,0.000182633,0.998324,0.000487029,0.0010066,0.0001687,0.998141,0.00136224,0.000327613
107,12,1514.54,12,1710.75,1,1,13,14486.9,0.000180196,0.998346,0.000480625,0.000993508,0.00016671,0.998163,0.00134674,0.000323792
108,12,1514.54,12,1651.01,1,1,13,14479.6,0.000163895,0.998495,0.000437231,0.000903939,0.000151864,0.998326,0.00122732,0.000294996
109,12,1514.54,12,1610.94,1,1,13,14472.4,0.000149338,0.998628,0.000398476,0.000823937,0.000138586,0.998472,0.00112048,0.00026924
110,12,1514.54,12,1652.31,1,1,9,14465.2,0.000136317,0.998748,0.000363803,0.000752351,0.000126691,0.998602,0.00102473,0.000246163
111,12,1514.54,12,1773.93,1,1,9,14457.9,0.000135259,0.998757,0.00036105,0.000746767,0.000125889,0.998611,0.00101868,0.000244638
112,12,1514.54,12,1674.75,1,1,13,14450.7,0.000134225,0.998766,0.000358361,0.000741312,0.000125104,0.998619,0.00101275,0.000243145
113,12,1514.54,12,1639.8,1,1,13,14443.5,0.00012276,0.998871,0.000327814,0.000678221,0.000114578,0.998735,0.000927928,0.000222717
114,12,1514.54,12,1729.8,1,1,9,14436.3,0.000112465,0.998966,0.000300383,0.000621559,0.000105114,0.998839,0.000851637,0.000204348
115,12,1514.54,12,1706.05,1,1,13,14429,0.000112002,0.99897,0.000299204,0.000619209,0.000104821,0.998842,0.000849616,0.000203804
116,12,1514.54,12,1706.05,1,1,0,14421.8,0.000102784,0.999054,0.000274634,0.000568444,9.63212e-05,0.998935,0.00078105,0.000187304
117,12,1514.54,12,1577.24,1,1,13,14414.6,0.000123258,0.998865,0.000329404,0.000681907,0.000115653,0.998721,0.000938203,0.000224926
118,12,1514.54,14,1878.89,1,1,9,14407.4,0.000112889,0.998961,0.000301752,0.000624755,0.000106058,0.998827,0.000860727,0.000206293
119,12,1514.54,14,2110.26,1,1,9,14400.2,0.000112399,0.998965,0.000300501,0.000622255,0.000105728,0.99883,0.000858405,0.000205678
120,12,1514.54,13,2021.35,1,1,13,14393,0.000111916,0.998969,0.000299269,0.000619795,0.000105401,0.998833,0.000856112,0.00020507
121,12,1514.54,13,2004.8,1,1,13,14385.8,0.00010268,0.999054,0.000274625,0.00056884,9.68184e-05,0.998928,0.000786727,0.000188396
122,12,1514.54,13,1685.27,1,1,13,14378.6,9.43611e-05,0.99913,0.000252426,0.000522933,8.90787e-05,0.999013,0.000724139,0.000173358
123,12,1514.54,13,1558.96,1,1,13,14371.4,8.68563e-05,0.999199,0.000232395,0.000481508,8.20881e-05,0.999091,0.000667591,0.000159775
124,12,1514.54,13,1603.23,1,1,9,14364.2,8.0075e-05,0.999262,0.000214293,0.000444067,7.57642e-05,0.99916,0.00061642,0.000147486
125,12,1514.54,12,1608.59,1,1,13,14357.1,8.02537e-05,0.99926,0.000214814,0.00044521,7.60162e-05,0.999157,0.000618729,0.000147996
126,12,1514.54,13,1648.3,1,1,9,14349.9,7.40956e-05,0.999316,0.00019837,0.000411189,7.02591e-05,0.999221,0.000572109,0.000136806
