iter,best_veh,best_dist,curr_veh,curr_dist,d_op,r_op,reward,temp,epsilon
156,15,1477.47,15,1569.79,3,1,1.50134,156.52,4.62473
157,15,1477.47,15,1562.63,0,2,0.455959,156.489,4.62242
158,15,1477.47,15,1561.55,4,0,0.0691533,156.457,4.62011
159,15,1477.47,15,1561.55,3,1,-10,156.426,4.6178
160,15,1477.47,15,1596.97,1,2,-2.26796,156.395,4.61549
161,15,1477.47,15,1596.97,1,0,-10,156.364,4.61318
162,15,1477.47,15,1554.35,0,2,2.66868,156.332,4.61088
163,15,1477.47,15,1554.35,0,2,0,156.301,4.60857
164,15,1477.47,15,1554.56,0,3,-0.0135891,156.27,4.60627
165,15,1477.47,15,1508.07,2,2,2.99086,156.238,4.60396
166,15,1477.47,15,1498.77,0,1,0.61629,156.207,4.60166
167,15,1477.47,15,1498.2,2,2,0.0378611,156.176,4.59936
168,15,1477.47,15,1522.03,1,3,-1.59017,156.145,4.59706
169,15,1477.47,15,1522.03,4,2,0,156.114,4.59476
170,15,1477.47,15,1522.03,4,2,0,156.082,4.59246
171,15,1477.47,15,1522.03,4,1,-10,156.051,4.59017
172,15,1477.47,15,1539.46,2,0,-1.14519,156.02,4.58787
173,15,1477.47,15,1538.19,2,2,0.0821184,155.989,4.58558
174,15,1477.47,15,1578.73,1,1,-2.63506,155.957,4.58329
175,15,1477.47,15,1588.11,0,1,-0.594703,155.926,4.58099
176,15,1477.47,15,1588.11,2,0,-10,155.895,4.5787
177,15,1477.47,15,1578.74,4,2,0.590459,155.864,4.57641
178,15,1477.47,15,1574.21,2,2,0.286591,155.833,4.57413
179,15,1477.47,15,1574.21,1,0,-10,155.802,4.57184
180,15,1477.47,15,1556.34,0,2,1.13521,155.77,4.56955
181,15,1477.47,15,1608.89,1,3,-3.37659,155.739,4.56727
182,15,1477.47,15,1608.89,4,3,-10,155.708,4.56498
183,15,1477.47,15,1608.89,2,0,-10,155.677,4.5627
184,15,1477.47,15,1588.14,0,2,1.29014,155.646,4.56042
185,15,1477.47,15,1588.14,0,1,-10,155.615,4.55814
186,15,1477.47,15,1587.52,1,0,0.038707,155.584,4.55586
187,15,1477.47,15,1589.11,1,1,-0.100207,155.552,4.55358
188,15,1477.47,15,1591.12,3,0,-0.126547,155.521,4.55131
189,15,1477.47,15,1588.01,3,1,0.195882,155.49,4.54903
190,15,1477.47,15,1594.28,2,3,-0.394797,155.459,4.54676
191,15,1477.47,15,1589.88,3,3,0.275541,155.428,4.54448
192,15,1477.47,15,1589.88,4,0,0,155.397,4.54221
193,15,1477.47,15,1601.07,2,1,-0.703479,155.366,4.53994
194,15,1477.47,15,1608.69,1,0,-0.476275,155.335,4.53767
195,15,1477.47,15,1608.69,0,2,0,155.304,4.5354
196,15,1477.47,15,1608.69,2,3,-10,155.273,4.53313
197,15,1477.47,15,1600.7,3,1,0.496912,155.242,4.53087
198,15,1477.47,15,1600.7,4,1,-10,155.211,4.5286
199,15,1477.47,15,1600.7,0,1,-10,155.18,4.52634
200,15,1477.47,15,1600.7,1,2,-6.11084,155.149,4.52407
201,15,1477.47,15,1575.51,2,3,1.57373,155.117,4.52181
202,15,1477.47,15,1575.51,0,3,-10,155.086,4.51955
203,15,1477.47,15,1646.1,1,2,-4.48067,155.055,4.51729
204,15,1477.47,15,1653.59,3,0,-0.45503,155.024,4.51503
205,15,1477.47,15,1639.49,0,2,0.852815,154.993,4.51278
206,15,1477.47,15,1639.49,3,3,-10,154.962,4.51052
207,15,1477.47,15,1639.49,3,0,-10,154.931,4.50826
208,15,1477.47,15,1641.46,1,2,-0.12019,154.9,4.50601
209,15,1477.47,15,1686.85,4,0,-2.76535,154.869,4.50376
210,15,1477.47,15,1686.85,4,3,-10,154.838,4.5015
211,15,1477.47,15,1686.85,0,2,-10,154.808,4.49925
212,15,1477.47,15,1673.02,4,2,0.820217,154.777,4.497
213,15,1477.47,15,1673.02,1,1,-10,154.746,4.49476
214,15,1477.47,15,1673.02,4,3,-10,154.715,4.49251
215,15,1477.47,15,1677.16,4,2,-0.247585,154.684,4.49026
216,15,1477.47,15,1674.41,3,1,0.164139,154.653,4.48802
217,15,1477.47,15,1672.01,0,3,0.142929,154.622,4.48577
218,15,1477.47,15,1672.01,4,1,-10,154.591,4.48353
219,15,1477.47,15,1672.01,2,3,-10,154.56,4.48129
220,15,1477.47,15,1660.11,4,1,0.711971,154.529,4.47905
221,15,1477.47,15,1660.11,1,0,-10,154.498,4.47681
222,15,1477.47,15,1651.58,4,1,0.51402,154.467,4.47457
223,15,1477.47,15,1646.26,0,2,0.321648,154.436,4.47233
224,15,1477.47,15,1633.27,4,0,0.789277,154.406,4.4701
225,15,1477.47,15,1633.27,4,0,-10,154.375,4.46786
226,15,1477.47,15,1633.27,1,0,-10,154.344,4.46563
227,15,1477.47,15,1633.27,2,0,-10,154.313,4.46339
228,15,1477.47,15,1701.35,1,0,-4.16837,154.282,4.46116
229,15,1477.47,15,1701.35,2,2,-10,154.251,4.45893
230,15,1477.47,15,1682.85,1,1,1.08721,154.22,4.4567
231,15,1477.47,15,1661.5,3,2,1.26882,154.189,4.45447
232,15,1477.47,15,1659.38,4,2,0.127639,154.159,4.45225
233,15,1477.47,15,1642.22,1,2,1.03428,154.128,4.45002
234,15,1477.47,15,1625.78,3,3,1.00117,154.097,4.4478
235,15,1477.47,15,1625.78,1,3,-10,154.066,4.44557
236,15,1477.47,15,1618.81,1,2,0.428593,154.035,4.44335
237,15,1477.47,15,1618.81,1,1,-10,154.005,4.44113
238,15,1477.47,15,1618.81,2,2,-10,153.974,4.43891
239,15,1477.47,15,1638.63,1,2,-1.22459,153.943,4.43669
240,15,1477.47,15,1638.63,2,0,-10,153.912,4.43447
241,15,1477.47,15,1619.08,0,1,1.19342,153.881,4.43225
242,15,1477.47,15,1619.08,4,1,-10,153.851,4.43004
243,15,1477.47,15,1625.01,4,2,-0.366356,153.82,4.42782
244,15,1477.47,15,1598.27,2,0,1.64563,153.789,4.42561
245,15,1477.47,15,1598.27,0,2,0,153.758,4.42339
246,15,1477.47,15,1588.22,3,1,0.628451,153.728,4.42118
247,15,1477.47,15,1628.75,1,2,-2.55163,153.697,4.41897
248,15,1477.47,15,1623.13,3,3,0.345147,153.666,4.41676
249,15,1477.47,15,1627.8,4,2,-0.288189,153.635,4.41455
250,15,1477.47,15,1692.39,1,3,-3.96748,153.605,4.41235
251,15,1477.47,15,1672.89,1,0,1.15194,153.574,4.41014
252,15,1477.47,15,1661.71,3,2,0.668243,153.543,4.40794
253,15,1477.47,15,1643.72,1,3,1.08256,153.512,4.40573
254,15,1477.47,15,1629.98,3,2,0.836125,153.482,4.40353
255,15,1477.47,15,1629.98,3,2,0,153.451,4.40133
256,15,1477.47,15,1629.98,3,0,-10,153.42,4.39913
257,15,1477.47,15,1627.09,4,1,0.177156,153.39,4.39693
258,15,1477.47,15,1670.46,1,3,-2.66523,153.359,4.39473
259,15,1477.47,15,1622.24,2,0,2.88666,153.328,4.39253
260,15,1477.47,15,1622.24,4,0,-10,153.298,4.39033
261,15,1477.47,15,1631.28,2,3,-0.557211,153.267,4.38814
262,15,1477.47,15,1631.28,2,1,0,153.236,4.38595
263,15,1477.47,15,1618.9,0,1,0.758743,153.206,4.38375
264,15,1477.47,15,1553.67,2,1,4.02952,153.175,4.38156
265,15,1477.47,15,1553.67,4,0,-10,153.144,4.37937
266,15,1477.47,15,1567.28,1,3,-0.876108,153.114,4.37718
267,15,1477.47,15,1564.45,2,0,0.18032,153.083,4.37499
268,15,1477.47,15,1564.45,1,2,-10,153.053,4.3728
269,15,1477.47,15,1555.73,3,0,0.557445,153.022,4.37062
270,15,1477.47,15,1548.41,3,2,0.470783,152.991,4.36843
271,15,1477.47,15,1550.02,0,3,-0.104229,152.961,4.36625
272,15,1477.47,15,1650.22,1,2,-6.46442,152.93,4.36406
273,15,1477.47,15,1670.47,1,2,-1.22743,152.9,4.36188
274,15,1477.47,15,1670.47,2,2,-10,152.869,4.3597
275,15,1477.47,15,1589.62,2,1,4.83993,152.838,4.35752
276,15,1477.47,15,1627.24,1,2,-2.36652,152.808,4.35534
277,15,1477.47,15,1576.61,2,0,3.11182,152.777,4.35317
278,15,1477.47,15,1576.61,2,3,0,152.747,4.35099
279,15,1477.47,15,1576.61,1,3,-10,152.716,4.34881
280,15,1477.47,15,1576.61,3,2,0,152.686,4.34664
281,15,1477.47,15,1576.61,2,3,-10,152.655,4.34447
