iter,best_veh,best_dist,curr_veh,curr_dist,d_op,r_op,reward,temp,d_weight_0,d_weight_1,d_weight_2,d_weight_3,d_weight_4,r_weight_0,r_weight_1,r_weight_2,r_weight_3
69,20,1817.15,20,1826.57,2,1,5,186.633,0.16601,0.23185,0.179548,0.212005,0.210587,0.208631,0.276507,0.305996,0.208866
70,20,1817.15,20,1825.82,4,2,5,186.596,0.165281,0.23087,0.183062,0.2111,0.209687,0.207742,0.279532,0.30475,0.207976
71,20,1817.15,20,1825.06,4,2,5,186.559,0.164716,0.230118,0.182445,0.210403,0.212318,0.20709,0.278697,0.30689,0.207324
72,20,1811.69,20,1811.69,4,0,10,186.522,0.164173,0.229398,0.181852,0.209735,0.214842,0.206441,0.277865,0.309019,0.206675
73,20,1790.15,20,1790.15,3,1,10,186.484,0.162722,0.22741,0.180255,0.207908,0.221704,0.215722,0.27462,0.305427,0.204231
74,20,1790.15,20,1822.45,2,0,2,186.447,0.161287,0.225442,0.178675,0.214813,0.219783,0.213252,0.282879,0.301982,0.201887
75,20,1790.15,20,1822.45,1,1,0,186.41,0.161066,0.22517,0.179699,0.214549,0.219515,0.215186,0.282193,0.301259,0.201363
76,20,1790.15,20,1822.45,3,1,0,186.372,0.161589,0.22258,0.180293,0.215276,0.220262,0.215951,0.279597,0.30238,0.202072
77,20,1790.15,20,1941.97,1,1,2,186.335,0.162027,0.22322,0.180792,0.213067,0.220894,0.216673,0.277143,0.303443,0.202741
78,20,1790.15,20,1925.39,2,2,5,186.298,0.16217,0.222461,0.180961,0.213284,0.221123,0.216732,0.2769,0.303578,0.20279
79,20,1790.15,20,1916.3,0,0,5,186.261,0.161517,0.221599,0.184164,0.212454,0.220266,0.21607,0.276087,0.305679,0.202164
80,20,1790.15,20,1901.42,3,1,5,186.223,0.165192,0.220634,0.183345,0.211523,0.219306,0.22067,0.274473,0.303907,0.20095
81,20,1790.15,20,1896.37,4,2,5,186.186,0.164709,0.22002,0.182818,0.213759,0.218695,0.219755,0.277441,0.302696,0.200108
82,20,1790.15,20,1846.45,2,3,5,186.149,0.164276,0.219474,0.182347,0.213225,0.220679,0.219093,0.276636,0.304775,0.199496
83,20,1790.15,20,1837.91,2,2,5,186.112,0.163635,0.218649,0.185446,0.21242,0.21985,0.217718,0.274932,0.302913,0.204438
84,20,1790.15,20,1819.91,0,2,5,186.074,0.163017,0.217855,0.18843,0.211646,0.219052,0.217066,0.274141,0.304975,0.203819
85,20,1790.15,20,1794.87,2,1,5,186.037,0.166572,0.216933,0.18762,0.210748,0.218126,0.216417,0.273354,0.307026,0.203203
86,20,1790.15,20,1809.26,2,2,2,186,0.165968,0.216175,0.190483,0.210008,0.217365,0.215495,0.276403,0.305771,0.202331
87,20,1790.15,20,1809.26,1,2,0,185.963,0.165885,0.216096,0.190806,0.209928,0.217285,0.215887,0.27694,0.30448,0.202693
88,20,1790.15,20,1809.26,1,1,0,185.926,0.166392,0.213631,0.191403,0.210595,0.217979,0.216958,0.278349,0.301,0.203692
89,20,1790.15,20,1809.1,0,3,5,185.888,0.16687,0.211307,0.191966,0.211224,0.218634,0.217697,0.27585,0.302074,0.204379
